trade_date,exit_date,is_lc_hv,entry_adj,exit_adj,pnl_pts,ret_pct
2025-07-09,2025-08-20,False,22808.0,24036.0,1222.0,5.357769203788145
2025-07-10,2025-08-21,True,22985.0,24221.0,1230.0,5.351316075701544
2025-07-11,2025-08-22,False,23138.0,24119.0,975.0,4.213847350678537
2025-07-14,2025-08-25,False,22925.0,24620.0,1689.0,7.367502726281352
2025-07-15,2025-08-26,True,23184.0,24622.0,1432.0,6.176673567977916
2025-07-16,2025-08-27,False,23290.0,24832.0,1536.0,6.595105195362818
2025-07-17,2025-08-28,False,23518.0,24597.0,1073.0,4.562462794455311
2025-07-18,2025-08-29,False,23632.0,24636.0,998.0,4.223087339201084
2025-07-21,2025-09-01,True,23598.0,24377.0,773.0,3.275701330621239
2025-07-22,2025-09-02,False,23360.0,24334.0,968.0,4.1438356164383565
2025-07-23,2025-09-03,False,23556.0,24366.0,804.0,3.413143148242486
2025-07-24,2025-09-04,False,23680.0,24501.0,815.0,3.441722972972973
2025-07-25,2025-09-05,True,23608.0,24788.0,1174.0,4.97289054557777
2025-07-28,2025-09-08,True,23762.0,24920.0,1152.0,4.848076761215386
2025-07-29,2025-09-09,False,23533.0,25171.0,1632.0,6.934942421280754
2025-07-30,2025-09-10,False,23731.0,25547.0,1810.0,7.6271543550629985
2025-07-31,2025-09-11,True,23959.0,25609.0,1644.0,6.861722108602196
2025-08-01,2025-09-12,False,23714.0,25828.0,2108.0,8.889263726068988
2025-08-04,2025-09-15,False,23630.0,25722.0,2086.0,8.82776132035548
2025-08-05,2025-09-16,False,23945.0,25998.0,2047.0,8.548757569429943
2025-08-06,2025-09-17,False,23795.0,25841.0,2040.0,8.57322967009876
2025-08-07,2025-09-18,False,24367.0,26080.0,1707.0,7.005376123445643
2025-08-08,2025-09-19,True,24319.0,26042.0,1717.0,7.060323204079115
2025-08-11,2025-09-22,False,24532.0,26262.0,1724.0,7.027555845426383
2025-08-12,2025-09-23,False,24505.0,26644.0,2133.0,8.704346051826157
2025-08-13,2025-09-24,False,24717.0,26608.0,1885.0,7.626330056236598
2025-08-14,2025-09-25,False,24620.0,26468.0,1842.0,7.481722177091796
2025-08-15,2025-09-26,False,24682.0,26040.0,1352.0,5.4776760392188635
2025-08-18,2025-09-30,False,24796.0,26325.0,1523.0,6.1421196967252785
2025-08-19,2025-10-01,False,24712.0,26416.0,1698.0,6.871155713823243
2025-08-20,2025-10-02,False,24036.0,26802.0,2760.0,11.482775836245631
2025-08-21,2025-10-03,False,24221.0,27116.0,2889.0,11.927666074893688
2025-08-22,2025-10-07,False,24119.0,27693.0,3568.0,14.793316472490567
2025-08-25,2025-10-08,False,24620.0,27464.0,2838.0,11.527213647441105
2025-08-26,2025-10-09,False,24622.0,27706.0,3078.0,12.501015352124117
2025-08-27,2025-10-13,False,24832.0,27275.0,2437.0,9.813949742268042
2025-08-28,2025-10-14,False,24597.0,27089.0,2486.0,10.10692360857015
2025-08-29,2025-10-15,False,24636.0,27653.0,3011.0,12.221951615522
2025-09-01,2025-10-16,False,24377.0,28187.0,3804.0,15.604873446281331
2025-09-02,2025-10-17,True,24334.0,27693.0,3353.0,13.779074545902853
2025-09-03,2025-10-20,False,24366.0,28148.0,3776.0,15.497004021997865
2025-09-04,2025-10-21,False,24501.0,28198.0,3691.0,15.064691237092365
2025-09-05,2025-10-22,False,24788.0,28069.0,3275.0,13.212038082943359
2025-09-08,2025-10-23,False,24920.0,27921.0,2995.0,12.018459069020865
2025-09-09,2025-10-27,True,25171.0,28590.0,3413.0,13.559254697866594
2025-09-10,2025-10-28,True,25547.0,28367.0,2814.0,11.014991975574432
2025-09-11,2025-10-29,False,25609.0,28777.0,3162.0,12.347221679878167
2025-09-12,2025-10-30,False,25828.0,28763.0,2929.0,11.340405761189407
2025-09-15,2025-10-31,True,25722.0,28796.0,3068.0,11.927532851255734
2025-09-16,2025-11-03,False,25998.0,28705.0,2701.0,10.38926071236249
2025-09-17,2025-11-04,False,25841.0,28482.0,2635.0,10.196973801323479
2025-09-18,2025-11-05,False,26080.0,28170.0,2084.0,7.99079754601227
2025-09-19,2025-11-06,False,26042.0,28399.0,2351.0,9.027724445127102
2025-09-22,2025-11-07,False,26262.0,28095.0,1827.0,6.956819739547636
2025-09-23,2025-11-10,False,26644.0,28381.0,1731.0,6.496772256417955
2025-09-24,2025-11-11,False,26608.0,28145.0,1531.0,5.753908598917619
