trade_date,nh,nl,nb,night_range,sma20,ema20,norm_sma,norm_ema,norm_sma_exp_med,norm_ema_exp_med
2024-01-16,17576.0,17530.0,840,46.0,114.75,117.97148975422678,0.4008714596949891,0.3899247190641828,0.9179548156956004,0.9343248341641102
2024-01-17,17375.0,17285.0,840,90.0,115.15,115.30753834906233,0.7815892314372557,0.7805213890487315,0.9179247762688528,0.9341195177650017
2024-01-19,17516.0,17333.0,840,183.0,121.0,121.75443945867544,1.512396694214876,1.5030252762332488,0.9178947368421052,0.9334811971391399
2024-01-22,17779.0,17650.0,840,129.0,112.35,122.4444928435635,1.1481975967957276,1.0535386035271663,0.9179247762688528,0.9341195177650017
2024-01-23,17834.0,17766.0,840,68.0,110.35,117.2593030489384,0.6162211146352515,0.5799113437645119,0.9179548156956004,0.9343248341641102
2024-01-24,17937.0,17863.0,840,74.0,109.25,113.13936942522999,0.6773455377574371,0.6540605659721669,0.9179247762688528,0.9341195177650017
2024-01-25,18090.0,17903.0,840,187.0,116.4,120.1737151942557,1.606529209621993,1.5560807094772966,0.9178947368421052,0.9334811971391399
2024-01-26,18078.0,17982.0,840,96.0,118.55,117.8714566043266,0.8097849008857022,0.8144465400326292,0.9179247762688528,0.9341195177650017
2024-01-29,18061.0,17960.0,840,101.0,120.15,116.26465121343836,0.8406158967956721,0.8687077193788201,0.9178947368421052,0.9334811971391399
2024-01-30,18152.0,18058.0,840,94.0,122.65,114.14420824072994,0.7664084794129636,0.8235196638427257,0.9165668454273646,0.9328428765132781
2024-01-31,18066.0,17997.0,840,69.0,120.5,109.8447598368509,0.5726141078838174,0.628159232197181,0.9152389540126239,0.932728052548764
2024-02-01,18044.0,17892.0,840,152.0,119.85,113.85954461429367,1.2682519816437214,1.334978112857464,0.9147316039221496,0.93261322858425
2024-02-02,18061.0,17951.0,840,110.0,120.05,113.49196893674188,0.9162848812994586,0.9692315767410095,0.9152389540126239,0.932728052548764
2024-02-05,18084.0,17985.0,840,99.0,121.5,112.11178141895694,0.8148148148148148,0.8830472475505605,0.9157619176560412,0.9328428765132781
