Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,trade_date,weekday,year,night_norm
1,277269,277311,23731.0,23677.0,,,-54.0,0.0,-0.0022755046142176605,2024-10-21 09:33:00,2024-10-21 10:15:00,0 days 00:42:00,,2024-10-21,0,2024,0.6047582501918649
-1,277867,277960,23441.0,23430.0,,,11.0,0.0,0.000469263256686947,2024-10-23 09:29:00,2024-10-23 11:02:00,0 days 01:33:00,,2024-10-23,2,2024,0.6003457488606004
-1,278177,278233,23415.0,23393.0,,,22.0,0.0,0.0009395686525731639,2024-10-24 09:38:00,2024-10-24 10:34:00,0 days 00:56:00,,2024-10-24,3,2024,1.0198126247888188
1,278764,278782,23529.0,23464.0,,,-65.0,0.0,-0.002762548344595994,2024-10-28 09:23:00,2024-10-28 09:41:00,0 days 00:18:00,,2024-10-28,0,2024,0.7775513403354758
-1,279389,279499,23112.0,22973.0,,,139.0,0.0,0.006014191761855359,2024-10-30 09:46:00,2024-10-30 11:36:00,0 days 01:50:00,,2024-10-30,2,2024,0.8317276814386642
-1,279668,279723,22462.0,22616.0,,,-154.0,0.0,-0.006856023506366382,2024-11-01 09:24:00,2024-11-01 10:19:00,0 days 00:55:00,,2024-11-01,4,2024,1.1570512820512822
-1,279967,280062,22894.0,22879.0,,,15.0,0.0,0.0006551935004804887,2024-11-04 09:22:00,2024-11-04 10:57:00,0 days 01:35:00,,2024-11-04,0,2024,0.9631449631449631
1,280599,280654,23118.0,23356.0,,,238.0,0.0,0.010295008218704105,2024-11-06 09:52:00,2024-11-06 10:47:00,0 days 00:55:00,,2024-11-06,2,2024,1.0423566323862645
1,281186,281214,23659.0,23697.0,,,38.0,0.0,0.0016061541062597495,2024-11-08 09:37:00,2024-11-08 10:05:00,0 days 00:28:00,,2024-11-08,4,2024,0.8950201884253028
1,281472,281514,23418.0,23321.0,,,-97.0,0.0,-0.004142112904603312,2024-11-11 09:22:00,2024-11-11 10:04:00,0 days 00:42:00,,2024-11-11,0,2024,1.1489291050971278
-1,281798,281838,23198.0,23135.0,,,63.0,0.0,0.0027157513578757175,2024-11-12 09:47:00,2024-11-12 10:27:00,0 days 00:40:00,,2024-11-12,1,2024,1.902668759811617
-1,282075,282250,22937.0,22943.0,,,-6.0,0.0,-0.0002615860836203687,2024-11-13 09:23:00,2024-11-13 12:18:00,0 days 02:55:00,,2024-11-13,2,2024,1.0817417876241406
-1,283314,283355,22743.0,22765.0,,,-22.0,0.0,-0.0009673306072197629,2024-11-19 09:58:00,2024-11-19 10:39:00,0 days 00:41:00,,2024-11-19,1,2024,0.9835561702781619
-1,283907,283941,22618.0,22608.0,,,10.0,0.0,0.00044212574056057274,2024-11-21 09:49:00,2024-11-21 10:23:00,0 days 00:34:00,,2024-11-21,3,2024,0.978978978978979
1,284524,284559,23146.0,23097.0,,,-49.0,0.0,-0.0021169964572712585,2024-11-25 10:04:00,2024-11-25 10:39:00,0 days 00:35:00,,2024-11-25,0,2024,0.47930931824947903
