trade_date,tse23_close,tse28_close
2012-07-13,264.66,776.26
2012-07-16,262.64,774.65
2012-07-17,261.96,783.61
2012-07-18,259.5,773.27
2012-07-19,264.31,781.6
2012-07-20,264.78,784.73
2012-07-23,258.53,772.94
2012-07-24,257.3,773.89
2012-07-25,254.79,772.3
2012-07-26,254.92,776.64
2012-07-27,261.46,790.77
2012-07-30,261.86,795.01
2012-07-31,266.25,805.36
2012-08-01,265.41,803.78
2012-08-03,263.15,794.96
2012-08-06,265.4,805.49
2012-08-07,265.02,807.57
2012-08-08,265.94,807.45
2012-08-09,271.62,819.89
2012-08-10,272.99,813.91
2012-08-13,273.72,809.99
2012-08-14,275.57,808.57
2012-08-15,275.12,806.45
2012-08-16,276.49,809.19
2012-08-17,275.99,804.27
2012-08-20,275.15,800.34
2012-08-21,277.89,812.07
2012-08-22,277.4,814.81
2012-08-23,278.23,816.3
2012-08-24,277.38,811.02
2012-08-28,273.74,796.53
2012-08-29,275.2,798.02
2012-08-30,275.96,790.41
2012-08-31,277.2,794.84
2012-09-03,281.05,796.19
2012-09-04,281.36,791.83
2012-09-06,276.49,783.05
2012-09-07,280.86,791.81
2012-09-10,282.05,794.43
2012-09-11,283.23,793.56
2012-09-12,286.71,800.88
2012-09-13,286.51,801.92
2012-09-14,291.64,831.47
2012-09-17,291.46,841.61
2012-09-18,290.63,838.79
2012-09-19,292.06,844.26
2012-09-20,289.66,838.61
2012-09-21,290.95,840.32
2012-09-24,291.74,840.89
2012-09-25,289.64,837.96
2012-09-26,286.18,831.96
2012-09-27,286.95,832.76
2012-10-01,287.12,825.27
2012-10-02,289.38,830.2
2012-10-03,288.94,823.68
2012-10-04,288.28,831.65
2012-10-05,288.32,836.75
2012-10-08,284.9,827.54
2012-10-09,282.17,828.79
2012-10-11,276.83,813.74
2012-10-15,275.7,807.98
2012-10-16,278.66,812.91
2012-10-17,278.56,809.97
2012-10-18,278.14,811.52
2012-10-19,275.58,804.2
2012-10-22,274.73,798.79
2012-10-23,273.74,794.07
2012-10-24,273.37,793.6
2012-10-25,270.99,788.13
2012-10-26,267.78,764.83
2012-10-29,266.23,760.21
2012-10-30,269.66,771.32
2012-10-31,269.35,765.29
2012-11-01,271.25,764.64
2012-11-02,271.25,779.43
2012-11-05,270.61,771.86
2012-11-06,272.87,778.23
2012-11-07,274.73,787.98
2012-11-08,274.25,776.16
2012-11-09,276.89,780.45
2012-11-12,275.87,777.78
2012-11-13,271.43,764.07
2012-11-14,273.38,767.62
2012-11-15,273.46,760.67
2012-11-16,272.51,759.37
2012-11-19,271.51,763.03
2012-11-20,271.73,767.84
2012-11-21,270.75,758.16
2012-11-22,271.57,766.74
2012-11-23,279.88,790.05
2012-11-26,282.44,801.18
2012-11-27,283.07,806.07
2012-11-28,283.3,808.07
2012-11-29,285.39,809.72
2012-11-30,289.02,819.33
2012-12-03,289.75,822.25
2012-12-04,290.98,821.99
2012-12-05,292.23,829.18
2012-12-06,290.16,830.24
2012-12-07,291.55,829.95
2012-12-10,290.05,824.61
2012-12-11,289.89,825.01
2012-12-12,292.22,837.39
2012-12-13,294.72,843.73
2012-12-14,291.08,839.17
2012-12-17,286.71,834.82
2012-12-18,287.39,838.01
2012-12-19,287.94,846.98
2012-12-20,285.87,832.59
2012-12-21,282.75,824.75
2012-12-22,284.5,827.67
2012-12-24,283.24,827.25
2012-12-26,286.16,836.71
2012-12-27,287.12,835.89
2012-12-28,289.23,841.78
2013-01-02,292.53,846.55
2013-01-03,294.1,848.73
2013-01-04,292.47,840.88
2013-01-07,289.38,841.89
2013-01-08,288.13,839.42
2013-01-09,288.58,842.79
2013-01-10,290.25,858.27
2013-01-11,290.34,857.52
2013-01-14,290.96,860.6
2013-01-15,288.21,854.29
2013-01-16,286.11,850.02
2013-01-17,283.72,839.95
2013-01-18,288.36,851.64
2013-01-21,287.98,852.33
2013-01-22,289.56,857.99
2013-01-23,289.09,854.69
2013-01-24,287.25,849.76
2013-01-25,286.65,849.53
2013-01-28,287.77,860.22
2013-01-29,292.09,863.36
2013-01-30,292.48,869.79
2013-01-31,292.26,878.78
2013-02-01,292.31,880.89
2013-02-04,293.57,909.53
2013-02-05,291.79,909.06
2013-02-06,293.22,917.26
2013-02-19,296.87,924.09
2013-02-20,299.47,934.19
2013-02-21,296.75,915.54
2013-02-22,295.31,920.89
2013-02-23,297.01,929.91
2013-02-25,295.85,924.87
2013-02-26,292.71,915.9
2013-02-27,294.25,919.73
2013-03-01,296.18,927.0
2013-03-04,293.23,913.34
2013-03-05,296.24,928.46
2013-03-06,296.17,927.69
2013-03-07,295.6,941.78
2013-03-08,296.48,961.87
2013-03-11,296.25,968.21
2013-03-12,296.14,947.17
2013-03-13,297.37,951.7
2013-03-14,296.57,950.28
2013-03-15,295.49,942.5
2013-03-18,291.48,920.96
2013-03-19,293.0,927.78
2013-03-20,291.01,931.44
2013-03-21,290.91,930.47
2013-03-22,290.87,925.77
2013-03-25,293.38,938.3
2013-03-26,294.52,936.74
2013-03-27,296.05,946.78
2013-03-28,294.96,940.87
2013-03-29,296.85,943.43
2013-04-01,296.44,934.36
2013-04-02,297.12,926.91
2013-04-03,297.96,936.25
2013-04-08,291.35,910.2
2013-04-09,289.87,909.34
2013-04-10,291.09,915.48
2013-04-11,295.38,918.57
2013-04-12,292.9,915.47
2013-04-15,290.03,905.12
2013-04-17,292.8,896.18
2013-04-19,299.09,911.67
2013-04-23,298.35,917.65
2013-04-24,300.82,924.7
2013-04-25,300.95,920.92
2013-04-26,301.57,918.4
2013-04-29,302.47,917.68
2013-04-30,305.69,925.29
2013-05-02,307.66,931.46
2013-05-03,307.52,934.94
2013-05-06,310.31,926.68
2013-05-07,309.84,925.28
2013-05-08,313.9,931.96
2013-05-09,314.86,934.51
2013-05-10,313.35,938.99
2013-05-13,312.53,935.08
2013-05-14,312.75,933.36
2013-05-15,314.79,947.48
2013-05-16,316.77,964.93
2013-05-17,316.17,958.56
2013-05-20,316.79,967.16
2013-05-21,316.85,959.08
2013-05-22,317.55,959.88
2013-05-23,311.32,938.2
2013-05-24,310.89,934.3
2013-05-27,314.45,940.48
2013-05-28,313.31,938.54
2013-05-29,316.04,946.81
2013-05-30,312.73,935.69
2013-05-31,312.54,941.87
2013-06-03,310.52,929.76
2013-06-04,310.9,925.47
2013-06-05,310.07,928.28
2013-06-06,306.56,919.41
2013-06-07,306.07,920.03
2013-06-10,308.73,930.53
2013-06-11,306.56,932.91
2013-06-13,298.73,919.16
2013-06-14,298.59,916.72
2013-06-17,300.46,924.05
2013-06-18,302.28,922.43
2013-06-19,301.17,920.91
2013-06-20,296.68,914.77
2013-06-21,293.01,912.16
2013-06-24,289.47,912.01
2013-06-25,287.32,895.76
2013-06-26,291.66,904.24
2013-06-28,303.46,928.08
2013-07-01,302.61,926.87
2013-07-02,302.78,921.34
2013-07-04,296.47,904.49
2013-07-05,301.23,912.16
2013-07-08,295.0,906.76
2013-07-09,297.07,923.1
2013-07-10,297.48,934.37
2013-07-11,302.92,953.53
2013-07-12,303.87,961.17
2013-07-15,304.65,959.82
2013-07-16,303.61,960.22
2013-07-17,301.42,969.46
2013-07-18,296.5,969.54
2013-07-19,288.17,959.81
2013-07-22,288.97,969.69
2013-07-23,294.94,976.19
2013-07-24,295.64,971.49
2013-07-25,295.9,964.67
2013-07-26,296.16,966.48
2013-07-29,292.71,965.49
2013-07-30,295.38,974.88
2013-07-31,293.69,971.66
2013-08-01,290.49,968.96
2013-08-02,290.21,976.96
2013-08-05,292.12,977.85
2013-08-06,288.73,963.83
2013-08-07,284.03,948.18
2013-08-08,283.33,950.0
2013-08-09,282.44,940.61
2013-08-12,283.99,947.63
2013-08-13,288.68,947.97
2013-08-14,287.87,946.63
2013-08-15,285.87,937.03
2013-08-16,287.16,940.54
2013-08-19,286.6,937.17
2013-08-22,284.46,931.02
2013-08-23,287.16,933.35
2013-08-26,288.17,934.09
2013-08-27,285.53,929.27
2013-08-28,286.04,927.09
2013-08-29,289.41,934.76
2013-08-30,293.34,949.57
2013-09-02,294.45,947.84
2013-09-03,295.82,960.25
2013-09-04,294.4,964.54
2013-09-05,297.68,968.3
2013-09-06,297.6,965.89
2013-09-09,298.66,964.9
2013-09-10,299.51,963.53
