rule,split,recall_A,FPR_bull,hit_B,hit_C,hit_D,n_A,n_bull,youden_J,median_lag_days
A>=60d AND B=streak>=3,IS,0.10299003322259136,0.0,0.22535211267605634,0.004914004914004914,0.0,1505,261,0.10299003322259136,169.0
A>=60d OR B=streak>=3,IS,0.5335548172757475,0.1685823754789272,0.5774647887323944,0.009828009828009828,0.0,1505,261,0.3649724417968203,69.0
A>=60d AND B=streak>=4,IS,0.08903654485049833,0.0,0.22535211267605634,0.0,0.0,1505,261,0.08903654485049833,169.0
A>=60d OR B=streak>=4,IS,0.5043189368770764,0.08045977011494253,0.5352112676056338,0.004914004914004914,0.0,1505,261,0.42385916676213387,92.0
A>=60d AND B=streak>=6,IS,0.0664451827242525,0.0,0.22535211267605634,0.0,0.0,1505,261,0.0664451827242525,169.0
A>=60d OR B=streak>=6,IS,0.44584717607973423,0.0,0.44668008048289737,0.004914004914004914,0.0,1505,261,0.44584717607973423,133.0
A>=60d AND B=score<=16,IS,0.08903654485049833,0.0,0.22535211267605634,0.0,0.0,1505,261,0.08903654485049833,169.0
A>=60d OR B=score<=16,IS,0.29966777408637874,0.0,0.4507042253521127,0.004914004914004914,0.0,1505,261,0.29966777408637874,69.0
A>=60d AND B=score<=22,IS,0.11694352159468438,0.0,0.22535211267605634,0.004914004914004914,0.0,1505,261,0.11694352159468438,169.0
A>=60d OR B=score<=22,IS,0.6159468438538206,0.32567049808429116,0.6599597585513078,0.2972972972972973,0.0,1505,261,0.29027634576952943,27.0
A>=0d AND B=streak>=1,OOS,0.12549019607843137,0.0,0.04960835509138381,0.22727272727272727,0.0,510,406,0.12549019607843137,196.0
A>=0d OR B=streak>=1,OOS,0.9019607843137255,0.2438423645320197,0.38903394255874674,0.7234848484848485,0.032407407407407406,510,406,0.6581184197817058,36.0
A>=0d AND B=streak>=2,OOS,0.0803921568627451,0.0,0.007832898172323759,0.22727272727272727,0.0,510,406,0.0803921568627451,219.0
A>=0d OR B=streak>=2,OOS,0.9019607843137255,0.2438423645320197,0.381201044386423,0.7234848484848485,0.032407407407407406,510,406,0.6581184197817058,36.0
A>=0d AND B=streak>=3,OOS,0.0392156862745098,0.0,0.0,0.22727272727272727,0.0,510,406,0.0392156862745098,240.0
A>=0d OR B=streak>=3,OOS,0.9019607843137255,0.2438423645320197,0.3289817232375979,0.7234848484848485,0.032407407407407406,510,406,0.6581184197817058,36.0
A>=0d AND B=streak>=4,OOS,0.00784313725490196,0.0,0.0,0.16287878787878787,0.0,510,406,0.00784313725490196,257.0
A>=0d OR B=streak>=4,OOS,0.9019607843137255,0.21674876847290642,0.30548302872062666,0.7234848484848485,0.032407407407407406,510,406,0.685212015840819,36.0
A>=0d AND B=streak>=6,OOS,0.0,0.0,0.0,0.06060606060606061,0.0,510,406,0.0,
A>=0d OR B=streak>=6,OOS,0.8352941176470589,0.12561576354679804,0.30548302872062666,0.7045454545454546,0.0,510,406,0.7096783541002608,36.0
A>=0d AND B=score<=16,OOS,0.0392156862745098,0.0,0.0,0.05303030303030303,0.0,510,406,0.0392156862745098,240.0
A>=0d OR B=score<=16,OOS,0.796078431372549,0.0,0.30548302872062666,0.22727272727272727,0.0,510,406,0.796078431372549,36.0
A>=0d AND B=score<=22,OOS,0.12549019607843137,0.0,0.04960835509138381,0.22727272727272727,0.0,510,406,0.12549019607843137,196.0
A>=0d OR B=score<=22,OOS,0.9019607843137255,0.2438423645320197,0.38903394255874674,0.7234848484848485,0.032407407407407406,510,406,0.6581184197817058,36.0
A>=5d AND B=streak>=1,OOS,0.11764705882352941,0.0,0.018276762402088774,0.16287878787878787,0.0,510,406,0.11764705882352941,196.0
